,index,date,sport,exercise,details,comments,distance_km,run_hours,run_minutes,run_seconds,run_total_seconds,details_fixed,reps_sum,weight,weights_lifted,muscle1,muscle2,description
570,87,2024-06-26,bieganie,dystans,11km,,11.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
571,87,2024-06-26,bieganie,tempo,5'24,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
572,87,2024-06-26,bieganie,czas,00:59:34,,0.0,0.0,59.0,34.0,3574.0,,0,0.0,0.0,bieganie,,
573,88,2024-06-28,bieganie,bieg spokojny,3km,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
574,88,2024-06-28,bieganie,bieg w tempie,"3 serie po 4x500m 4:30/1min przerwy, 3 min przerwy między seriami",,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
575,88,2024-06-28,bieganie,bieg spokojny,2km,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
576,88,2024-06-28,bieganie,dystans,13.63,,13.63,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
577,88,2024-06-28,bieganie,tempo,5'08,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
578,88,2024-06-28,bieganie,czas,01:09:58,,0.0,1.0,9.0,58.0,4198.0,,0,0.0,0.0,bieganie,,
579,89,2024-06-29,kalistenika,podciąganie nachwytem kółka,x10 x9 x7 x8,,0.0,0.0,0.0,0.0,0.0,1x10 1x9 1x7 1x8,34,0.0,0.0,plecy,,
580,89,2024-06-29,kalistenika,podciąganie podchwytem,x6 x7 x7 x6,s1,0.0,0.0,0.0,0.0,0.0,1x6 1x7 1x7 1x6,26,0.0,0.0,plecy,biceps,
581,89,2024-06-29,kalistenika,dipy kólka,x7 x6 x3 x5,s1,0.0,0.0,0.0,0.0,0.0,1x7 1x6 1x3 1x5,21,0.0,0.0,triceps,klatka,
582,89,2024-06-29,kalistenika,przysiady na jednej nodze z kółkami,x4 x4 x4 x4,s1,0.0,0.0,0.0,0.0,0.0,1x4 1x4 1x4 1x4,16,0.0,0.0,,,
583,89,2024-06-29,kalistenika,podciąganie australijskie nachwytem,x10 x10 x10 x10,s2,0.0,0.0,0.0,0.0,0.0,1x10 1x10 1x10 1x10,40,0.0,0.0,plecy,,
584,89,2024-06-29,kalistenika,l sit,3s 5s 5s 5s,s2,0.0,0.0,0.0,0.0,0.0,3s 5s 5s 5s,0,0.0,0.0,,,
585,89,2024-06-29,kalistenika,frog stand,8s 10s 10s 10s,s2,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,barki,,na czas
586,89,2024-06-29,kalistenika,pompki kółka,x15 x15 x15 x15,s3,0.0,0.0,0.0,0.0,0.0,1x15 1x15 1x15 1x15,60,0.0,0.0,klatka,triceps,
587,89,2024-06-29,kalistenika,pompki pike kólka,x7 x6 x6 x6,s3,0.0,0.0,0.0,0.0,0.0,1x7 1x6 1x6 1x6,25,0.0,0.0,barki,,
588,89,2024-06-29,kalistenika,diamenty,x6 x7 x6 x6,s3,0.0,0.0,0.0,0.0,0.0,1x6 1x7 1x6 1x6,25,0.0,0.0,triceps,klatka,
589,89,2024-06-29,kalistenika,zwis,jedna ręką na ręczniku 2x20s 2x20s 2x20s 2x20s,s3,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,chwyt,przedramie,na czas
590,90,2024-06-30,bieganie,dystans,22,,22.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
591,90,2024-06-30,bieganie,tempo,5'18,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
592,90,2024-06-30,bieganie,czas,01:56:33,,0.0,1.0,56.0,33.0,6993.0,,0,0.0,0.0,bieganie,,
593,91,2024-07-02,bieganie,bieg spokojny,6km,4'44,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
594,91,2024-07-02,bieganie,sprint,100/100x10,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,do notowania z przerwami
595,91,2024-07-02,bieganie,dystans,8,,8.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
596,91,2024-07-02,bieganie,tempo,5'09,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
597,91,2024-07-02,bieganie,czas,00:41:22,,0.0,0.0,41.0,22.0,2482.0,,0,0.0,0.0,bieganie,,
598,92,2024-07-04,siłownia,wyciskanie na ławce płaskiej,90kg x5 x5 x4; 70kg x12,,0.0,0.0,0.0,0.0,0.0,90kg 1x5 1x5 1x4,14,90.0,1260.0,klatka,triceps,
599,92,2024-07-04,siłownia,wyciskanie na ławce płaskiej,90kg x5 x5 x4; 70kg x12,,0.0,0.0,0.0,0.0,0.0, 70kg 1x12,12,70.0,840.0,klatka,triceps,
600,92,2024-07-04,siłownia,przysiady,70kg x5 x5 x5 x5,,0.0,0.0,0.0,0.0,0.0,70kg 1x5 1x5 1x5 1x5,20,70.0,1400.0,nogi,,
601,92,2024-07-04,siłownia,podciąganie nachwytem,10kg x3 x4 x5,nie było pasa,0.0,0.0,0.0,0.0,0.0,10kg 1x3 1x4 1x5,12,10.0,120.0,plecy,,
602,92,2024-07-04,siłownia,podciąganie podchwytem,10kg x6 x6,,0.0,0.0,0.0,0.0,0.0,10kg 1x6 1x6,12,10.0,120.0,plecy,biceps,
603,92,2024-07-04,siłownia,dipy maszyna,110kg x10 x10 x10 x10,,0.0,0.0,0.0,0.0,0.0,110kg 1x10 1x10 1x10 1x10,40,110.0,4400.0,triceps,klatka,
604,92,2024-07-04,siłownia,modlitewnik maszyna,27.5kg x12 x12 x12 x8,,0.0,0.0,0.0,0.0,0.0,27.5kg 1x12 1x12 1x12 1x8,44,27.5,1210.0,biceps,,
605,92,2024-07-04,siłownia,wyciskanie hantli nad głowę,22.5kg x10 x10 x10 x10,,0.0,0.0,0.0,0.0,0.0,22.5kg 1x10 1x10 1x10 1x10,40,22.5,900.0,barki,,
606,92,2024-07-04,siłownia,hip trusty maszyna,30kg x8 x8 x8 x8,,0.0,0.0,0.0,0.0,0.0,30kg 1x8 1x8 1x8 1x8,32,30.0,960.0,dupa,,
607,92,2024-07-04,siłownia,barki bokiem,10kg x12 x12 x12,,0.0,0.0,0.0,0.0,0.0,10kg 1x12 1x12 1x12,36,10.0,360.0,barki,,
608,92,2024-07-04,siłownia,wzniosy nóg,x8 x6 x6 x8,,0.0,0.0,0.0,0.0,0.0,1x8 1x6 1x6 1x8,28,0.0,0.0,brzuch,chwyt,
609,93,2024-07-06,kalistenika,podciąganie nachwytem kółka,x11 x9 x8 x7,s1,0.0,0.0,0.0,0.0,0.0,1x11 1x9 1x8 1x7,35,0.0,0.0,plecy,,
610,93,2024-07-06,kalistenika,diamenty,x9 x9 x9 x10,s1,0.0,0.0,0.0,0.0,0.0,1x9 1x9 1x9 1x10,37,0.0,0.0,triceps,klatka,
611,93,2024-07-06,kalistenika,wykroki,x12 x12 x12 x12,s1,0.0,0.0,0.0,0.0,0.0,1x12 1x12 1x12 1x12,48,0.0,0.0,nogi,,
612,93,2024-07-06,kalistenika,podciąganie podchwytem,x8 x6 x6 x7,s2,0.0,0.0,0.0,0.0,0.0,1x8 1x6 1x6 1x7,27,0.0,0.0,plecy,biceps,
613,93,2024-07-06,kalistenika,pompki kółka,x16 x10 x16 x16,s2,0.0,0.0,0.0,0.0,0.0,1x16 1x10 1x16 1x16,58,0.0,0.0,klatka,triceps,
614,93,2024-07-06,kalistenika,frog stand,15s 13s 15s 16s,s2,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,barki,,na czas
615,93,2024-07-06,kalistenika,podciąganie australijskie  podchywtem,x12 x12 x12 x12,s3,0.0,0.0,0.0,0.0,0.0,1x12 1x12 1x12 1x12,48,0.0,0.0,plecy,biceps,
616,93,2024-07-06,kalistenika,dipy kólka,x5 x5 x5 x5,s3,0.0,0.0,0.0,0.0,0.0,1x5 1x5 1x5 1x5,20,0.0,0.0,triceps,klatka,
617,93,2024-07-06,kalistenika,przysiady na jednej nodze z kółkami,x5 x5 x5 x5,s3,0.0,0.0,0.0,0.0,0.0,1x5 1x5 1x5 1x5,20,0.0,0.0,,,
618,93,2024-07-06,kalistenika,pompki pike,x8 x8 x8 x8,s4,0.0,0.0,0.0,0.0,0.0,1x8 1x8 1x8 1x8,32,0.0,0.0,barki,,
619,93,2024-07-06,kalistenika,l sit,5s 5s 3s 5s,s4,0.0,0.0,0.0,0.0,0.0,5s 5s 3s 5s,0,0.0,0.0,,,
620,93,2024-07-06,kalistenika,zwis,z jedną ręką na ręczniku 2x25s 2x25s 2x20s 2x20s,s4,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,chwyt,przedramie,na czas
621,94,2024-07-07,bieganie,dystans,25,,25.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
622,94,2024-07-07,bieganie,tempo,5'27,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
623,94,2024-07-07,bieganie,czas,02:16:18,,0.0,2.0,16.0,18.0,8178.0,,0,0.0,0.0,bieganie,,
624,95,2024-07-09,siłownia,wyciskanie na ławce płaskiej,92.5kg x4 x4 x4; 70kg x14,,0.0,0.0,0.0,0.0,0.0,92.5kg 1x4 1x4 1x4,12,92.5,1110.0,klatka,triceps,
625,95,2024-07-09,siłownia,wyciskanie na ławce płaskiej,92.5kg x4 x4 x4; 70kg x14,,0.0,0.0,0.0,0.0,0.0, 70kg 1x14,14,70.0,980.0,klatka,triceps,
626,95,2024-07-09,siłownia,martwy ciąg,70kg x6 x6 x6 x7,,0.0,0.0,0.0,0.0,0.0,70kg 1x6 1x6 1x6 1x7,25,70.0,1750.0,nogi,,
627,95,2024-07-09,siłownia,podciąganie nachwytem,10kg x5 x5 x5 ,,0.0,0.0,0.0,0.0,0.0,10kg 1x5 1x5 1x5 ,15,10.0,150.0,plecy,,
628,95,2024-07-09,siłownia,podciąganie podchwytem,10kg x6 x5,,0.0,0.0,0.0,0.0,0.0,10kg 1x6 1x5,11,10.0,110.0,plecy,biceps,
629,95,2024-07-09,siłownia,modlitewnik sztanga,25kg x13 x11 x10 x10,,0.0,0.0,0.0,0.0,0.0,25kg 1x13 1x11 1x10 1x10,44,25.0,1100.0,biceps,,
630,95,2024-07-09,siłownia,wyciskanie hantli nad głowę,25kg x8 x8 x8 x8,,0.0,0.0,0.0,0.0,0.0,25kg 1x8 1x8 1x8 1x8,32,25.0,800.0,barki,,
631,95,2024-07-09,siłownia,wyciskanie francuskie 2 hantlami,27.5kg x8 x8 x8 x8,,0.0,0.0,0.0,0.0,0.0,27.5kg 1x8 1x8 1x8 1x8,32,27.5,880.0,triceps,,
632,95,2024-07-09,siłownia,hip trusty na ziemi,27.5kg x10 x10 x10 x10,,0.0,0.0,0.0,0.0,0.0,27.5kg 1x10 1x10 1x10 1x10,40,27.5,1100.0,dupa,,
633,95,2024-07-09,siłownia,wzniosy nóg,x10 x10 x10 x10,,0.0,0.0,0.0,0.0,0.0,1x10 1x10 1x10 1x10,40,0.0,0.0,brzuch,chwyt,
634,96,2024-07-14,kalistenika,podciąganie nachwytem,x10 x8 x8 x8,,0.0,0.0,0.0,0.0,0.0,1x10 1x8 1x8 1x8,34,0.0,0.0,plecy,,
635,96,2024-07-14,kalistenika,dipy,x10 x10 x10 x10,,0.0,0.0,0.0,0.0,0.0,1x10 1x10 1x10 1x10,40,0.0,0.0,triceps,klatka,
636,96,2024-07-14,kalistenika,"przysiady na jednej nodze, negatywy",x10 x10 x10 x10,,0.0,0.0,0.0,0.0,0.0,1x10 1x10 1x10 1x10,40,0.0,0.0,nogi,,
637,96,2024-07-14,kalistenika,podciąganie podchwytem,x5 x7,,0.0,0.0,0.0,0.0,0.0,1x5 1x7,12,0.0,0.0,plecy,biceps,
638,96,2024-07-14,kalistenika,pompki,x20 x20,,0.0,0.0,0.0,0.0,0.0,1x20 1x20,40,0.0,0.0,klatka,triceps,
639,96,2024-07-14,kalistenika,wykroki,x14 x14,,0.0,0.0,0.0,0.0,0.0,1x14 1x14,28,0.0,0.0,nogi,,
640,96,2024-07-14,kalistenika,zwis,40s,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,chwyt,przedramie,na czas
641,97,2024-07-16,siłownia,wyciskanie na ławce płaskiej,95kg x4 x3 x2; 70kg x15,,0.0,0.0,0.0,0.0,0.0,95kg 1x4 1x3 1x2,9,95.0,855.0,klatka,triceps,
642,97,2024-07-16,siłownia,wyciskanie na ławce płaskiej,95kg x4 x3 x2; 70kg x15,,0.0,0.0,0.0,0.0,0.0, 70kg 1x15,15,70.0,1050.0,klatka,triceps,
643,97,2024-07-16,siłownia,przysiady,80kg x5 x5 x4 x3,,0.0,0.0,0.0,0.0,0.0,80kg 1x5 1x5 1x4 1x3,17,80.0,1360.0,nogi,,
644,97,2024-07-16,siłownia,podciąganie nachwytem,15kg x3 x3 x2,,0.0,0.0,0.0,0.0,0.0,15kg 1x3 1x3 1x2,8,15.0,120.0,plecy,,
645,97,2024-07-16,siłownia,podciąganie podchwytem,15kg x4 x3,,0.0,0.0,0.0,0.0,0.0,15kg 1x4 1x3,7,15.0,105.0,plecy,biceps,
646,97,2024-07-16,siłownia,wyciąg dolny biceps,6 płytek x12 x12 x12 x12,,0.0,0.0,0.0,0.0,0.0,6 płytek 1x12 1x12 1x12 1x12,48,0.0,0.0,biceps,,
647,97,2024-07-16,siłownia,triceps wyciąg,5 płytek x12 x12 x12 x12,,0.0,0.0,0.0,0.0,0.0,5 płytek 1x12 1x12 1x12 1x12,48,0.0,0.0,triceps,,"wyciąg górny, dowolny uchwyt"
648,97,2024-07-16,siłownia,barki bokiem,9kg x10 x10 x10,,0.0,0.0,0.0,0.0,0.0,9kg 1x10 1x10 1x10,30,9.0,270.0,barki,,
649,97,2024-07-16,siłownia,hip trusty na ziemi,30kg x10 x10 x10 x10,,0.0,0.0,0.0,0.0,0.0,30kg 1x10 1x10 1x10 1x10,40,30.0,1200.0,dupa,,
650,97,2024-07-16,siłownia,wzniosy nóg do drążka,x5 x5 x5 x5,,0.0,0.0,0.0,0.0,0.0,1x5 1x5 1x5 1x5,20,0.0,0.0,brzuch,chwyt,
651,98,2024-07-22,bieganie,dystans,3.11,,3.11,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
652,98,2024-07-22,bieganie,tempo,5'05,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
653,98,2024-07-22,bieganie,czas,00:15:48,,0.0,0.0,15.0,48.0,948.0,,0,0.0,0.0,bieganie,,
654,98,2024-07-22,kalistenika,muscle up z wyskoku,zabawaa,,0.0,0.0,0.0,0.0,0.0,zabawaa,0,0.0,0.0,plecy,triceps,
655,98,2024-07-22,kalistenika,podciąganie nachwytem,x12 x8 x8,s1,0.0,0.0,0.0,0.0,0.0,1x12 1x8 1x8,28,0.0,0.0,plecy,,
656,98,2024-07-22,kalistenika,dipy,x12 x8 x8,s1,0.0,0.0,0.0,0.0,0.0,1x12 1x8 1x8,28,0.0,0.0,triceps,klatka,
657,98,2024-07-22,kalistenika,"przysiady na jednej nodze, negatywy",x6 x6 x6,s1,0.0,0.0,0.0,0.0,0.0,1x6 1x6 1x6,18,0.0,0.0,nogi,,
658,98,2024-07-22,kalistenika,podciąganie podchwytem,x7 x7 x7,s2,0.0,0.0,0.0,0.0,0.0,1x7 1x7 1x7,21,0.0,0.0,plecy,biceps,
659,98,2024-07-22,kalistenika,pompki,x15 x15 x15,s2,0.0,0.0,0.0,0.0,0.0,1x15 1x15 1x15,45,0.0,0.0,klatka,triceps,
660,98,2024-07-22,kalistenika,przysiady z wyskokiem,x10 x10 x10,s2,0.0,0.0,0.0,0.0,0.0,1x10 1x10 1x10,30,0.0,0.0,nogi,,
661,98,2024-07-22,kalistenika,podciąganie australijskie nachwytem,x10 x10,s3,0.0,0.0,0.0,0.0,0.0,1x10 1x10,20,0.0,0.0,plecy,,
662,98,2024-07-22,kalistenika,pompki pike,x9 x9,s3,0.0,0.0,0.0,0.0,0.0,1x9 1x9,18,0.0,0.0,barki,,
663,98,2024-07-22,kalistenika,frog stand,12s 7s,s3,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,barki,,na czas
664,98,2024-07-22,kalistenika,podciąganie australijskie  podchywtem,x10 x10,s4,0.0,0.0,0.0,0.0,0.0,1x10 1x10,20,0.0,0.0,plecy,biceps,
665,98,2024-07-22,kalistenika,diamenty,x8 x10,s4,0.0,0.0,0.0,0.0,0.0,1x8 1x10,18,0.0,0.0,triceps,klatka,
666,98,2024-07-22,kalistenika,l sit,6s 6s,s4,0.0,0.0,0.0,0.0,0.0,6s 6s,0,0.0,0.0,,,
667,98,2024-07-22,bieganie,dystans,3,,3.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
668,98,2024-07-22,bieganie,tempo,6'12,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
669,98,2024-07-22,bieganie,czas,00:18:39,,0.0,0.0,18.0,39.0,1119.0,,0,0.0,0.0,bieganie,,
670,99,2024-07-23,bieganie,dystans,10,,10.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
671,99,2024-07-23,bieganie,tempo,522,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
672,99,2024-07-23,bieganie,czas,00:53:53,,0.0,0.0,53.0,53.0,3233.0,,0,0.0,0.0,bieganie,,
673,100,2024-07-24,siłownia,wyciskanie na ławce płaskiej,100kg x2 x1; 90kg x5; 70kg x10,,0.0,0.0,0.0,0.0,0.0,100kg 1x2 1x1,3,100.0,300.0,klatka,triceps,
674,100,2024-07-24,siłownia,wyciskanie na ławce płaskiej,100kg x2 x1; 90kg x5; 70kg x10,,0.0,0.0,0.0,0.0,0.0, 90kg 1x5,5,90.0,450.0,klatka,triceps,
675,100,2024-07-24,siłownia,wyciskanie na ławce płaskiej,100kg x2 x1; 90kg x5; 70kg x10,,0.0,0.0,0.0,0.0,0.0, 70kg 1x10,10,70.0,700.0,klatka,triceps,
676,100,2024-07-24,siłownia,ohp,50kg x5 x5; 40kg x8,,0.0,0.0,0.0,0.0,0.0,50kg 1x5 1x5,10,50.0,500.0,barki,,
677,100,2024-07-24,siłownia,ohp,50kg x5 x5; 40kg x8,,0.0,0.0,0.0,0.0,0.0, 40kg 1x8,8,40.0,320.0,barki,,
678,100,2024-07-24,siłownia,modlitewnik maszyna,30kg x10 x10 x10,,0.0,0.0,0.0,0.0,0.0,30kg 1x10 1x10 1x10,30,30.0,900.0,biceps,,
679,100,2024-07-24,siłownia,wyciskanie francuskie 1 hantel,27.5kg x10 x10,,0.0,0.0,0.0,0.0,0.0,27.5kg 1x10 1x10,20,27.5,550.0,triceps,,
680,100,2024-07-24,siłownia,wyciąg poziomy do klatki,68kg x11 x11 x11,,0.0,0.0,0.0,0.0,0.0,68kg 1x11 1x11 1x11,33,68.0,2244.0,plecy,biceps,
681,100,2024-07-24,siłownia,hip trusty maszyna,35kg x8 x8 x8,,0.0,0.0,0.0,0.0,0.0,35kg 1x8 1x8 1x8,24,35.0,840.0,dupa,,
682,101,2024-07-31,siłownia,wyciskanie na ławce płaskiej,100kg x2; 90kg x3,,0.0,0.0,0.0,0.0,0.0,100kg 1x2,2,100.0,200.0,klatka,triceps,
683,101,2024-07-31,siłownia,wyciskanie na ławce płaskiej,100kg x2; 90kg x3,,0.0,0.0,0.0,0.0,0.0, 90kg 1x3,3,90.0,270.0,klatka,triceps,
684,101,2024-07-31,siłownia,martwy ciąg,80kg x6 x6 x6,,0.0,0.0,0.0,0.0,0.0,80kg 1x6 1x6 1x6,18,80.0,1440.0,nogi,,
685,101,2024-07-31,siłownia,triceps wyciąg,30kg x8 x8; 35kg x8,,0.0,0.0,0.0,0.0,0.0,30kg 1x8 1x8,16,30.0,480.0,triceps,,"wyciąg górny, dowolny uchwyt"
686,101,2024-07-31,siłownia,triceps wyciąg,30kg x8 x8; 35kg x8,,0.0,0.0,0.0,0.0,0.0, 35kg 1x8,8,35.0,280.0,triceps,,"wyciąg górny, dowolny uchwyt"
687,101,2024-07-31,siłownia,uginanie ramion z obrotem stojąc,16kg x24; 18kg x16 x16,,0.0,0.0,0.0,0.0,0.0,16kg 1x24,24,16.0,384.0,biceps,,
688,101,2024-07-31,siłownia,uginanie ramion z obrotem stojąc,16kg x24; 18kg x16 x16,,0.0,0.0,0.0,0.0,0.0, 18kg 1x16 1x16,32,18.0,576.0,biceps,,
689,101,2024-07-31,siłownia,barki bokiem,10kg x10 x10 x10,,0.0,0.0,0.0,0.0,0.0,10kg 1x10 1x10 1x10,30,10.0,300.0,barki,,
690,102,2024-08-01,bieganie,dystans,10,,10.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
691,102,2024-08-01,bieganie,tempo,5'05,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
692,102,2024-08-01,bieganie,czas,00:50:53,,0.0,0.0,50.0,53.0,3053.0,,0,0.0,0.0,bieganie,,
693,103,2024-08-12,bieganie,bieg spokojny,8,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
694,103,2024-08-12,bieganie,sprint,"10x100m, 100m marszu",,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,do notowania z przerwami
695,103,2024-08-12,bieganie,dystans,10,,10.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
696,103,2024-08-12,bieganie,tempo,5'11,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
697,103,2024-08-12,bieganie,czas,00:52:06,,0.0,0.0,52.0,6.0,3126.0,,0,0.0,0.0,bieganie,,
698,104,2024-08-13,siłownia,wyciskanie na ławce płaskiej,90kg x4 x4 x3; 70kg x14,,0.0,0.0,0.0,0.0,0.0,90kg 1x4 1x4 1x3,11,90.0,990.0,klatka,triceps,
699,104,2024-08-13,siłownia,wyciskanie na ławce płaskiej,90kg x4 x4 x3; 70kg x14,,0.0,0.0,0.0,0.0,0.0, 70kg 1x14,14,70.0,980.0,klatka,triceps,
700,104,2024-08-13,siłownia,przysiady,60kg x6 x6 x6 x6,,0.0,0.0,0.0,0.0,0.0,60kg 1x6 1x6 1x6 1x6,24,60.0,1440.0,nogi,,
701,104,2024-08-13,siłownia,podciąganie nachwytem,x10 x8 x8,,0.0,0.0,0.0,0.0,0.0,1x10 1x8 1x8,26,0.0,0.0,plecy,,
702,104,2024-08-13,siłownia,podciąganie podchwytem,x6 x6,,0.0,0.0,0.0,0.0,0.0,1x6 1x6,12,0.0,0.0,plecy,biceps,
703,104,2024-08-13,siłownia,wyciskanie francuskie 2 hantlami,10kg x10; 12.5kg x10 x10,,0.0,0.0,0.0,0.0,0.0,10kg 1x10,10,10.0,100.0,triceps,,
704,104,2024-08-13,siłownia,wyciskanie francuskie 2 hantlami,10kg x10; 12.5kg x10 x10,,0.0,0.0,0.0,0.0,0.0, 12.5kg 1x10 1x10,20,12.5,250.0,triceps,,
705,104,2024-08-13,siłownia,modlitewnik maszyna,32.5kg x8 x8 x8,,0.0,0.0,0.0,0.0,0.0,32.5kg 1x8 1x8 1x8,24,32.5,780.0,biceps,,
706,104,2024-08-13,siłownia,barki tyl w opadzie,31.5kg x8 x8 x8,,0.0,0.0,0.0,0.0,0.0,31.5kg 1x8 1x8 1x8,24,31.5,756.0,barki,,
707,104,2024-08-13,siłownia,hip trusty maszyna,40kg x8,,0.0,0.0,0.0,0.0,0.0,40kg 1x8,8,40.0,320.0,dupa,,
708,104,2024-08-13,siłownia,zwis,6x20s/20s,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,chwyt,przedramie,na czas
